NAME,ADDRESS,USE_TYPE,SCHOOL_SITE,POOL,POOL_NAME,WEB_URL,PHONE,STATUS,FITNESS_CENTER,GIS_ID,OBJECTID,CREATED
Hillcrest Recreation Center,3100 DENVER STREET SE,RECREATION CENTER,no,none,none,https://dpr.dc.gov/page/hillcrest-recreation-center,(202) 645-9200,Open,Fitness Room,RecPt_1,1601,"2022/08/11 23:34:41+00"
Kelly Miller Pool,4900 BROOKS STREET NE,POOL,no,outdoor,Kelly Miller Pool,https://dpr.dc.gov/page/kelly-miller-pool,(202) 724-5056,Open,No,RecPt_2,1602,"2022/08/11 23:34:41+00"
Volta Park Recreation Center,1555 34TH STREET NW,RECREATION CENTER,no,outdoor,Volta Park Pool,https://dpr.dc.gov/page/volta-park-recreation-center,(202) 645-5668,Open,No,RecPt_3,1603,"2022/08/11 23:34:41+00"
Stead Recreation Center,1625 P STREET NW,RECREATION CENTER,no,none,none,https://dpr.dc.gov/page/stead-recreation-center,(202) 673-4465,Open,No,RecPt_4,1604,"2022/08/11 23:34:41+00"
Francis Pool,2435 N STREET NW,POOL,no,outdoor,Francis Pool,https://dpr.dc.gov/page/francis-pool,(202) 340-6795,Open,No,RecPt_5,1605,"2022/08/11 23:34:41+00"
East Potomac Pool,972 OHIO DRIVE SW,POOL,no,outdoor,East Potomac Pool,https://dpr.dc.gov/page/east-potomac-pool,(202) 727-6523,Closed,No,RecPt_6,1606,"2022/08/11 23:34:41+00"
Jelleff Community Center,3265 S STREET NW,RECREATION CENTER,Unknown,outdoor,Jelleff Pool,https://dpr.dc.gov/page/jelleff-community-center,(202) 462-1317,Open,No,RecPt_7,1607,"2022/08/11 23:34:41+00"
Jelleff Pool,3265 S STREET NW,POOL,Unknown,outdoor,Jelleff Pool,https://dpr.dc.gov/page/jelleff-pool,(202) 462-1317,Open,No,RecPt_8,1608,"2022/08/11 23:34:41+00"
Volta Park Pool,1555 34TH STREET NW,POOL,no,outdoor,Volta Park Pool,https://dpr.dc.gov/page/volta-park-pool,(202) 645-5669,Open,No,RecPt_9,1609,"2022/08/11 23:34:41+00"
Mitchell Park Recreation Center,1801 23RD STREET NW,RECREATION CENTER,no,none,none,https://dpr.dc.gov/page/mitchell-park-recreation-center-0,(202) 674-6641,Open,No,RecPt_10,1610,"2022/08/11 23:34:41+00"
Columbia Heights CC Spray Park,1480 GIRARD STREET NW,SPRAY PARK,no,spray park,Columbia Heights Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 671-0373,Open,No,RecPt_11,1611,"2022/08/11 23:34:41+00"
Douglass Community Center,1922 FREDERICK DOUGLASS COURT SE,RECREATION CENTER,no,outdoor,Douglass Pool,https://dpr.dc.gov/page/douglass-community-center-00,(202) 645-3980,Open,No,RecPt_12,1612,"2022/08/11 23:34:41+00"
Ferebee-Hope Recreation Center,700 YUMA STREET SE,RECREATION CENTER,Ferebee-Hope Elementary School,indoor,Ferebee Hope Pool,https://dpr.dc.gov/page/ferebee-hope-recreation-center,(202) 788-2279,Open,No,RecPt_13,1613,"2022/08/11 23:34:41+00"
Oxon Run Pool,501 MISSISSIPPI AVENUE SE,POOL,no,outdoor,Oxon Run Pool,https://dpr.dc.gov/page/oxon-run-pool-01,(202) 645-5042,Open,No,RecPt_14,1614,"2022/08/11 23:34:41+00"
